coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
614527,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-24T07:45:38Z,kdpearso,
614527,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-03-24T07:45:39Z,kdpearso,
1181016,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Sterile,http://purl.obolibrary.org/obo/PPO_0002622,,2020-03-11T15:11:00Z,kdpearso,
1448601,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1448601,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1448603,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Sterile,http://purl.obolibrary.org/obo/PPO_0002622,,2020-03-09T14:39:23Z,kdpearso,
1448607,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1448607,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1448608,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1448608,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1463190,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1463190,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1463191,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1463191,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1463192,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1463192,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1563406,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-03-09T14:43:59Z,kdpearso,
1563406,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:43:56Z,kdpearso,
1595457,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
1595457,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
1894563,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2021-08-30T09:10:38Z,kdpearso,
1894563,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2021-08-30T09:10:38Z,kdpearso,
1894564,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-02-10T09:21:11Z,kdpearso,
1894564,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-10T09:21:11Z,kdpearso,
3142091,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-11T07:50:09Z,kdpearso,
3142091,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-02-11T07:50:09Z,kdpearso,
3672035,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-09T14:45:33Z,kdpearso,
3672035,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-03-09T14:45:34Z,kdpearso,
4450389,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2021-04-14T07:37:37Z,kdpearso,
4450389,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2021-04-14T07:37:37Z,kdpearso,
